dataset_id,model_type,method,ate_hat
23,Non-Parametric,Levis IWOR,0.2705344720515761
23,Parametric,Levis IWOR,0.25472776768377764
24,Non-Parametric,Levis IWOR,0.27320723517885437
24,Parametric,Levis IWOR,0.2628954365977261
25,Non-Parametric,Levis IWOR,0.2786915297555208
25,Parametric,Levis IWOR,0.26311001466126166
26,Non-Parametric,Levis IWOR,0.2782210347018555
26,Parametric,Levis IWOR,0.259349174924437
27,Non-Parametric,Levis IWOR,0.26563554032266046
27,Parametric,Levis IWOR,0.25170735706640823
28,Non-Parametric,Levis IWOR,0.2594073663629948
28,Parametric,Levis IWOR,0.2481911466245765
29,Non-Parametric,Levis IWOR,0.26864854828197904
29,Parametric,Levis IWOR,0.26453034500245765
30,Non-Parametric,Levis IWOR,0.2539235739811667
30,Parametric,Levis IWOR,0.24689615690761443
31,Non-Parametric,Levis IWOR,0.28532907204344665
31,Parametric,Levis IWOR,0.2685741447291295
32,Non-Parametric,Levis IWOR,0.26524879170752613
32,Parametric,Levis IWOR,0.2543047584518479
33,Non-Parametric,Levis IWOR,0.2628411920771142
33,Parametric,Levis IWOR,0.24100153419143094
34,Non-Parametric,Levis IWOR,0.26647183988903617
34,Parametric,Levis IWOR,0.2576689060550772
35,Non-Parametric,Levis IWOR,0.2673365204876847
35,Parametric,Levis IWOR,0.252526928116964
36,Non-Parametric,Levis IWOR,0.2811996372467479
36,Parametric,Levis IWOR,0.2591142879999233
37,Non-Parametric,Levis IWOR,0.26385908855486495
37,Parametric,Levis IWOR,0.24466153251865475
38,Non-Parametric,Levis IWOR,0.2767945914148189
38,Parametric,Levis IWOR,0.25355533020586674
39,Non-Parametric,Levis IWOR,0.272911171805579
39,Parametric,Levis IWOR,0.25932431989928667
40,Non-Parametric,Levis IWOR,0.26785380748942966
40,Parametric,Levis IWOR,0.25445846368865704
41,Non-Parametric,Levis IWOR,0.27775332202978426
41,Parametric,Levis IWOR,0.2603031331346598
42,Non-Parametric,Levis IWOR,0.26565086268932897
42,Parametric,Levis IWOR,0.2505060567528547
43,Non-Parametric,Levis IWOR,0.26090850670801247
43,Parametric,Levis IWOR,0.25369544453923387
44,Non-Parametric,Levis IWOR,0.2660610088801467
44,Parametric,Levis IWOR,0.25148010329537007
45,Non-Parametric,Levis IWOR,0.2762398421439284
45,Parametric,Levis IWOR,0.25526333941877477
46,Non-Parametric,Levis IWOR,0.2746398699697069
46,Parametric,Levis IWOR,0.2632334780750034
47,Non-Parametric,Levis IWOR,0.2774272509920759
47,Parametric,Levis IWOR,0.26648504703037224
48,Non-Parametric,Levis IWOR,0.26242021774051094
48,Parametric,Levis IWOR,0.2518966714746197
49,Non-Parametric,Levis IWOR,0.27655263020079884
49,Parametric,Levis IWOR,0.2504763491325492
50,Non-Parametric,Levis IWOR,0.26521680827726735
50,Parametric,Levis IWOR,0.25584266734621997
51,Non-Parametric,Levis IWOR,0.2689209603391817
51,Parametric,Levis IWOR,0.255071031540507
52,Non-Parametric,Levis IWOR,0.2719087374935078
52,Parametric,Levis IWOR,0.25886615675810676
53,Non-Parametric,Levis IWOR,0.26462160078560926
53,Parametric,Levis IWOR,0.25525111433093073
54,Non-Parametric,Levis IWOR,0.26700188012805315
54,Parametric,Levis IWOR,0.25180816754972973
55,Non-Parametric,Levis IWOR,0.2645207277190563
55,Parametric,Levis IWOR,0.25350032566010583
56,Non-Parametric,Levis IWOR,0.2606487746032947
